noise,ips_error,dr_error
0.0,0.04697313340183004,0.20972498817027788
0.5555555555555556,0.04697313340183004,0.21234808111963577
1.1111111111111112,0.04697313340183004,0.2520091015634825
1.6666666666666667,0.04697313340183004,0.27607924426792735
2.2222222222222223,0.04697313340183004,0.18268043397116207
2.7777777777777777,0.04697313340183004,0.2219417269586817
3.3333333333333335,0.04697313340183004,0.12947422561184335
3.8888888888888893,0.04697313340183004,0.15863207041942928
4.444444444444445,0.04697313340183004,0.19368579181549922
5.0,0.04697313340183004,0.14161433551130773
